subject block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_102_TBS 5 18 3 neutral neut_comp 3 4 up down X blue D D 1 Time-out 587 839 1133 No-drop NA 2 non-match up d s 0 1349
OGWM_102_TBS 5 19 3 neutral neut_incomp 4 1 down left X pink R R 1 Time-out 405 441 781 1017 NA 2 match left s s 1 1248
OGWM_102_TBS 5 20 1 compatible cued_comp 2 1 right left 1 pink R R 1 Time-out 485 519 815 931 valid 1 non-match up d s 0 1071
OGWM_102_TBS 5 21 1 compatible cued_comp 4 1 down left 1 blue D D 1 Time-out 67 289 969 579 valid 1 non-match left d d 1 549
OGWM_102_TBS 5 22 3 neutral neut_incomp 2 3 right up X green L L 1 Time-out 413 571 845 927 NA 2 match up s s 1 1168
OGWM_102_TBS 5 23 2 incompatible incomp 1 3 left up 1 blue D D 1 Time-out 7 395 697 1227 valid 1 match left s s 1 386
OGWM_102_TBS 5 24 1 compatible cued_comp 3 2 up right 1 orange U U 1 Time-out 393 555 1283 No-drop valid 1 non-match down d d 1 475
OGWM_102_TBS 5 25 2 incompatible uncued_comp 1 3 left up 1 orange U U 1 Time-out 367 437 1275 1407 invalid 2 non-match down d d 1 529
OGWM_102_TBS 5 26 1 compatible cued_comp 4 1 down left 2 green L L 1 Time-out 11 351 1159 1291 valid 2 non-match up d d 1 517
OGWM_102_TBS 5 27 2 incompatible incomp 2 1 right left 1 orange U U 1 Time-out 447 577 1201 1351 invalid 2 match left s NA 0 9999000
OGWM_102_TBS 5 28 2 incompatible incomp 1 2 left right 1 orange U L 0 Time-out 391 443 No-move 1075 valid 1 match left s s 1 410
OGWM_102_TBS 5 29 3 neutral neut_incomp 4 2 down right X green L L 1 Time-out 641 693 1019 1211 NA 2 non-match down d d 1 530
OGWM_102_TBS 5 30 1 compatible cued_comp 3 2 up right 2 pink R R 1 Time-out 5 591 1165 1165 valid 2 non-match down d NA 0 9999000
