,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT
181,OGWM_112,PFC_cTBS,compatible,neutral,4.755102040816326,536.8163265306123,700.4285714285714,803.7291666666666,926.8367346938776,1.0,654.7551020408164,1.0,0.02040816326530612,0.02040816326530612,28.25508327424226,28.104512867038956,7.284080019937957,7.88334674077809,390.0204081632653
182,OGWM_112,PFC_cTBS,compatible,valid,2.988095238095238,501.9166666666667,657.25,772.8170731707318,893.1309523809524,1.0,660.1547619047619,1.0,0.047619047619047616,0.047619047619047616,39.02981901358315,39.0529221310603,10.365007174656677,11.111038684759407,391.2142857142857
183,OGWM_112,PFC_cTBS,incompatible,invalid,7.0,559.0240963855422,705.8915662650602,826.390243902439,946.9879518072289,1.0,632.9638554216867,1.0,0.0,0.012048192771084338,11.42646265992894,16.90125544844845,3.669090604881213,5.695921960315676,387.96385542168673
184,OGWM_112,PFC_cTBS,incompatible,neutral,5.076923076923077,542.0769230769231,678.1538461538462,794.8076923076923,930.4807692307693,1.0,664.9230769230769,0.9807692307692307,0.0,0.019230769230769232,21.020261473880012,40.2321693992271,4.093618318740378,6.788905445411256,388.40384615384613
185,OGWM_112,PFC_cTBS,incompatible,valid,3.0,551.3478260869565,687.6086956521739,801.5217391304348,917.9130434782609,1.0,647.5652173913044,0.9565217391304348,0.0,0.0,99.39921432447059,83.68616972697559,3.900627902164629,4.716797912218222,366.5652173913044
186,OGWM_112,PFC_iTBS,compatible,invalid,5.818181818181818,556.0,668.8181818181819,773.5454545454545,879.8181818181819,1.0,640.6363636363636,1.0,0.0,0.045454545454545456,1.4028146684185119,13.213106969936975,3.512602325538247,7.956662673417367,323.8181818181818
187,OGWM_112,PFC_iTBS,compatible,neutral,4.056603773584905,531.4905660377359,666.9433962264151,757.58,868.1320754716982,1.0,716.3584905660377,1.0,0.03773584905660377,0.07547169811320754,94.40581597397117,127.06069314767653,5.998437616850415,8.54856509291453,336.64150943396226
188,OGWM_112,PFC_iTBS,compatible,valid,4.988095238095238,504.2857142857143,609.8571428571429,707.219512195122,827.8809523809524,1.0,670.3571428571429,0.9880952380952381,0.011904761904761904,0.023809523809523808,61.19982102505531,72.48948425905668,5.308982212102785,6.595908590914473,323.5952380952381
189,OGWM_112,PFC_iTBS,incompatible,invalid,6.2,568.275,684.65,786.1168831168832,888.625,1.0,704.825,1.0,0.0,0.0375,-21.752260640331894,2.124085716041953,3.6683959841391216,7.055725931029471,320.35
190,OGWM_112,PFC_iTBS,incompatible,neutral,3.980769230769231,568.2307692307693,680.3076923076923,775.9591836734694,889.1538461538462,1.0,781.4038461538462,1.0,0.019230769230769232,0.019230769230769232,73.76711522052928,94.06654072333018,4.041022995643415,4.915326342271522,320.9230769230769
191,OGWM_112,PFC_iTBS,incompatible,valid,5.043478260869565,539.0869565217391,657.695652173913,747.695652173913,864.4347826086956,1.0,762.3478260869565,0.9565217391304348,0.08695652173913043,0.08695652173913043,17.906953347319522,33.33595025280087,14.801361765190203,15.478057298843638,325.3478260869565
192,OGWM_112,no_TMS,compatible,invalid,6.136363636363637,636.0909090909091,800.1818181818181,909.0909090909091,1036.8181818181818,1.0,684.8181818181819,1.0,0.045454545454545456,0.045454545454545456,8.69720462067095,8.364849242030216,11.489704754865494,13.035135411715027,400.72727272727275
193,OGWM_112,no_TMS,compatible,neutral,2.42,580.98,737.4,852.74,968.04,1.0,647.66,1.0,0.02,0.02,19.837435776183327,12.9631023892799,5.3750963309248325,5.726135779971109,387.06
194,OGWM_112,no_TMS,compatible,valid,6.686746987951807,564.2048192771084,684.9759036144578,804.170731707317,935.4216867469879,1.0,627.6385542168674,1.0,0.012048192771084338,0.012048192771084338,34.08681333529124,38.671240482999366,5.707869819955861,6.40804381015551,371.2168674698795
195,OGWM_112,no_TMS,incompatible,invalid,6.038461538461538,594.8205128205128,735.8717948717949,849.4935064935065,986.1538461538462,1.0,644.5769230769231,1.0,0.01282051282051282,0.01282051282051282,30.08394737548393,21.364526243662226,5.980563679170351,6.386771452516564,391.3333333333333
196,OGWM_112,no_TMS,incompatible,neutral,2.392156862745098,586.3137254901961,724.1372549019608,839.9183673469388,958.8039215686274,1.0,677.1764705882352,1.0,0.0,0.0,78.9918124298791,71.35662505855333,3.330134454971063,4.596218005440479,372.4901960784314
197,OGWM_112,no_TMS,incompatible,valid,6.809523809523809,573.1904761904761,731.0952380952381,848.4285714285714,948.1904761904761,1.0,631.2380952380952,1.0,0.0,0.0,-76.42749905590465,-42.031695752914736,2.790304461953873,3.2792318279359476,375.0
198,OGWM_113,PFC_cTBS,compatible,invalid,3.9545454545454546,523.7727272727273,754.9545454545455,831.3181818181819,1015.6818181818181,1.0,934.5454545454545,0.9545454545454546,0.09090909090909091,0.13636363636363635,-79.9581537826897,-65.38030553837862,10.755112647206472,12.95656014833288,491.90909090909093
199,OGWM_113,PFC_cTBS,compatible,neutral,3.3333333333333335,558.6078431372549,781.5294117647059,888.76,1070.4901960784314,1.0,984.0196078431372,0.9607843137254902,0.058823529411764705,0.0784313725490196,-18.584839432883115,-31.959839599586367,10.75257625478271,13.380717286326144,511.88235294117646
200,OGWM_113,PFC_cTBS,compatible,valid,7.7125,392.45,575.7,710.3246753246754,832.0625,1.0,941.3,1.0,0.0375,0.05,-9.942841997683562,0.7386907862670611,10.069231151224278,13.125578073350084,439.6125
201,OGWM_113,PFC_cTBS,incompatible,invalid,3.835616438356164,579.3561643835617,879.986301369863,900.6901408450705,1139.2328767123288,1.0,958.4931506849315,0.9452054794520548,0.2602739726027397,0.3150684931506849,-43.255818126061335,-35.677450045259526,32.660270668140214,34.85489696837567,559.8767123287671
202,OGWM_113,PFC_cTBS,incompatible,neutral,3.3137254901960786,599.4705882352941,879.8823529411765,894.64,1129.0392156862745,1.0,978.9607843137255,1.0,0.21568627450980393,0.2549019607843137,0.6257774119284829,19.741679648217875,23.826975047923074,31.320629277694543,529.5686274509804
