,subject,target,TrialType,BlockType,block,move_init_bound_msecRT,enter_box_msecRT,velocity_drop_msecRT,msecRT,ACC,probemsecRT,probeACC,corrected_movements,corrected_movements_1_4,movement_angle,movement_angle_1_4,movement_angle_difference,movement_angle_difference_1_4,movement_time_msecRT,trial_count,correction_proportion,correction_proportion_1_4
73,OGWM_106,PFC_cTBS,compatible,neutral,191,26702.0,37452.0,42692.0,51534.0,50,38701,48,0.0,3.0,-649.2681046099683,-119.2037219947218,413.09766982110796,782.812755371311,24832.0,54.0,0.0,0.05555555555555555
74,OGWM_106,PFC_cTBS,compatible,valid,459,46171.0,66355.0,62927.0,83259.0,76,64321,73,1.0,4.0,-169.02849403983197,-723.0497548919635,748.6815713592198,1099.644433001572,37088.0,85.0,0.011764705882352941,0.047058823529411764
75,OGWM_106,PFC_cTBS,incompatible,invalid,358,46446.0,66940.0,69382.0,86063.0,75,58782,70,4.0,8.0,-1351.862901048399,-164.1690393450786,951.9223228644679,1509.919422840172,39617.0,85.0,0.047058823529411764,0.09411764705882353
76,OGWM_106,PFC_cTBS,incompatible,neutral,168,28100.0,40813.0,38273.0,50942.0,48,36637,47,3.0,10.0,-944.2814155629915,-882.0780047027731,583.0004155900301,1059.110950450518,22842.0,54.0,0.05555555555555555,0.18518518518518517
77,OGWM_106,PFC_cTBS,incompatible,valid,140,11751.0,17771.0,19388.0,23593.0,23,18970,22,3.0,5.0,509.8440825047891,91.15568376017949,548.8146756035721,721.7995752214761,11842.0,23.0,0.13043478260869565,0.21739130434782608
78,OGWM_106,PFC_iTBS,compatible,invalid,152,14028.0,18456.0,20289.0,22550.0,22,13889,22,0.0,0.0,-339.4095606767819,8.407746966714114,178.85212960710547,184.32323426122477,8522.0,24.0,0.0,0.0
79,OGWM_106,PFC_iTBS,compatible,neutral,174,37937.0,50983.0,53777.0,61124.0,53,36863,51,0.0,2.0,1652.59489550568,1016.0270712764461,485.96604920152197,740.776458119105,23187.0,54.0,0.0,0.037037037037037035
80,OGWM_106,PFC_iTBS,compatible,valid,384,62852.0,81505.0,78602.0,97358.0,83,47909,82,1.0,1.0,-2764.9196300877147,-1324.3071997214042,703.3926618151313,788.5911954274045,34506.0,84.0,0.011904761904761904,0.011904761904761904
81,OGWM_106,PFC_iTBS,incompatible,invalid,567,53233.0,72015.0,77764.0,90836.0,81,50080,80,3.0,9.0,-616.6806461270098,88.10768116053382,862.6759600642192,1446.1013887482725,37603.0,84.0,0.03571428571428571,0.10714285714285714
82,OGWM_106,PFC_iTBS,incompatible,neutral,179,36209.0,49009.0,46543.0,61285.0,53,34945,51,3.0,7.0,-2126.0324657600636,-2154.8435454289042,792.2470204847459,1158.6697969636646,25076.0,54.0,0.05555555555555555,0.12962962962962962
83,OGWM_106,PFC_iTBS,incompatible,valid,112,20376.0,25834.0,25714.0,30970.0,24,13940,24,0.0,2.0,-1053.1416159043563,-1420.6090113138932,192.7047332906252,319.6139672078554,10594.0,24.0,0.0,0.08333333333333333
84,OGWM_106,no_TMS,compatible,invalid,134,10252.0,15984.0,15036.0,20376.0,22,16293,21,0.0,1.0,1719.5732127166827,1443.976610619379,197.51013583073913,472.52235473728706,10124.0,23.0,0.0,0.043478260869565216
85,OGWM_106,no_TMS,compatible,neutral,212,25596.0,36480.0,36394.0,47464.0,52,33967,50,0.0,1.0,-1732.6957666295116,-2764.3054132246534,271.3889883933689,428.0236827170663,21868.0,54.0,0.0,0.018518518518518517
86,OGWM_106,no_TMS,compatible,valid,392,43012.0,63854.0,57200.0,79938.0,84,60427,84,2.0,3.0,223.740573828179,-1103.83801899152,692.9178681080259,909.8327724455384,36926.0,84.0,0.023809523809523808,0.03571428571428571
87,OGWM_106,no_TMS,incompatible,invalid,517,48106.0,68894.0,72450.0,85909.0,82,59484,79,7.0,12.0,2613.386791161634,2250.8426813303713,1103.985758235509,1640.4587508014883,37803.0,85.0,0.08235294117647059,0.1411764705882353
